learning_rate,n_iterations,train_mse,val_mse
0.001,500,5.114705471655946,5.102778938737726
0.001,1000,1.1781885838747392,1.1666434486536177
0.001,2000,0.5604273672763099,0.5510397282011076
0.001,3000,0.5456682828393494,0.5391543156244335
0.01,500,0.5443091508417305,0.5394203239509594
0.01,1000,0.5441898658552182,0.5395925334859888
0.01,2000,0.5440621967269367,0.5395947124590669
0.01,3000,0.5441260724886525,0.5395794727889717
0.05,500,0.5438120172626927,0.5400020625557854
0.05,1000,0.5438121213201629,0.5400034079538804
0.05,2000,0.5438128626077148,0.5400016035818963
0.05,3000,0.5438128735425164,0.5400021642258704
0.1,500,0.5437320359387035,0.5401173812018045
0.1,1000,0.5437325058246845,0.5401164444821124
0.1,2000,0.5437324640060063,0.5401165629797622
0.1,3000,0.5437318099436124,0.540117810010774
0.2,500,0.5436915404331427,0.5402149447075466
0.2,1000,0.5436916005672215,0.5402147569293527
0.2,2000,0.5436917338737985,0.540214339476642
0.2,3000,0.5436921212038675,0.5402131319025559
